Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
0.550	0.94	0.51	-9.78	-0.01	0.12	-0.03
0.577	0.93	0.63	-9.65	-0.04	-0.03	0.04
0.604	0.87	0.59	-9.71	0.11	-0.04	-0.02
0.631	0.85	0.56	-9.75	-0.03	0.07	0.15
0.658	0.93	0.60	-9.75	-0.01	0.02	0.04
0.686	0.78	0.55	-9.75	0.03	-0.02	-0.12
0.712	0.96	0.53	-9.85	-0.00	-0.07	0.01
0.739	0.94	0.55	-9.77	-0.03	0.05	0.10
0.766	0.89	0.65	-9.80	0.09	-0.04	-0.02
0.793	0.91	0.62	-9.73	-0.04	0.08	0.08
0.820	0.96	0.49	-9.77	0.00	0.01	-0.01
0.847	0.95	0.57	-9.76	-0.01	0.12	0.19
0.877	0.84	0.61	-9.72	0.02	-0.02	-0.14
0.904	0.98	0.57	-9.85	0.02	0.06	0.02
0.931	0.91	0.57	-9.80	-0.01	-0.03	0.01
0.958	0.91	0.52	-9.78	0.05	0.09	0.09
0.985	0.90	0.51	-9.81	0.04	-0.04	-0.19
1.012	0.89	0.54	-9.83	-0.11	-0.01	0.05
1.039	0.96	0.60	-9.73	0.14	-0.07	-0.07
1.067	0.95	0.54	-9.68	-0.07	0.03	-0.04
1.093	0.97	0.65	-9.77	0.03	0.06	0.10
1.120	0.88	0.55	-9.71	0.03	-0.08	-0.01
1.147	0.91	0.55	-9.82	0.02	-0.06	-0.09
1.174	0.96	0.59	-9.80	0.02	0.05	0.10
1.202	0.93	0.58	-9.77	-0.06	-0.06	-0.03
1.228	0.86	0.65	-9.76	0.05	0.01	-0.01
1.258	0.94	0.52	-9.71	-0.01	0.05	0.03
1.286	0.89	0.51	-9.77	0.02	-0.02	0.10
1.312	0.91	0.54	-9.81	-0.07	0.05	0.13
1.339	1.03	0.46	-9.70	-0.10	0.03	0.13
1.367	0.96	0.60	-9.80	-0.01	-0.12	-0.04
1.393	0.88	0.55	-9.67	0.03	-0.12	0.12
1.421	0.92	0.61	-9.70	0.01	-0.02	-0.11
1.447	0.85	0.59	-9.66	0.08	0.00	-0.10
1.474	0.91	0.63	-9.85	-0.01	-0.02	-0.00
1.502	0.96	0.57	-9.80	-0.05	0.01	0.02
1.528	0.83	0.60	-9.78	-0.04	-0.04	0.02
1.555	0.92	0.55	-9.83	-0.03	0.17	0.07
1.583	0.89	0.57	-9.86	0.03	0.00	0.05
1.612	0.98	0.55	-9.73	-0.08	0.05	0.15
1.639	1.05	0.65	-9.66	0.02	0.12	-0.09
1.667	1.06	0.62	-9.74	-0.03	-0.00	0.11
1.693	0.93	0.50	-9.87	-0.02	-0.03	-0.00
1.721	0.89	0.56	-9.83	0.09	-0.05	-0.08
1.747	0.85	0.50	-9.73	-0.11	0.08	0.04
1.774	0.90	0.58	-9.78	0.09	-0.04	-0.05
1.802	0.93	0.61	-9.75	0.02	0.01	-0.09
1.828	0.93	0.51	-9.72	-0.02	0.16	-0.00
1.861	0.93	0.60	-9.75	-0.04	0.06	-0.07
1.889	0.90	0.62	-9.69	0.02	0.03	-0.00
1.915	0.88	0.53	-9.79	-0.01	-0.09	-0.00
1.942	0.89	0.57	-9.85	0.07	-0.05	-0.05
1.973	0.87	0.59	-9.68	-0.06	-0.02	-0.02
1.999	0.88	0.60	-9.75	0.04	-0.05	-0.01
2.026	0.93	0.56	-9.73	-0.07	-0.08	-0.01
2.054	0.96	0.57	-9.73	-0.02	0.00	0.00
2.080	0.93	0.57	-9.78	0.10	0.07	0.04
2.107	0.92	0.52	-9.84	-0.01	-0.05	-0.02
2.135	0.91	0.57	-9.77	0.00	0.01	-0.04
2.161	0.88	0.53	-9.75	0.03	0.06	-0.04
2.189	0.91	0.52	-9.80	-0.07	0.00	0.10
2.215	0.93	0.51	-9.88	-0.05	-0.01	0.01
2.242	0.88	0.62	-9.82	-0.05	0.03	0.09
2.270	0.87	0.64	-9.80	-0.02	0.13	-0.12
2.296	0.98	0.56	-9.82	-0.04	-0.03	0.06
2.323	0.94	0.57	-9.75	-0.03	-0.05	0.07
2.354	0.88	0.52	-9.80	0.03	0.06	0.09
2.380	0.91	0.61	-9.72	0.08	-0.14	-0.15
2.407	0.91	0.56	-9.73	-0.07	0.04	0.16
2.435	0.87	0.62	-9.88	0.04	-0.06	0.01
2.461	0.86	0.58	-9.79	-0.02	-0.10	-0.04
2.489	0.97	0.57	-9.79	-0.06	0.13	0.10
2.515	0.92	0.58	-9.76	-0.03	0.01	0.16
2.542	0.91	0.54	-9.71	-0.07	0.05	0.07
2.570	0.95	0.58	-9.76	-0.01	0.02	-0.03
2.596	0.93	0.52	-9.78	0.04	0.09	-0.05
2.623	0.83	0.62	-9.71	-0.04	-0.01	0.11
2.651	0.93	0.55	-9.75	0.00	-0.02	-0.04
2.677	0.93	0.64	-9.75	0.04	0.10	-0.11
2.707	0.91	0.60	-9.75	-0.04	0.05	0.10
2.735	0.94	0.55	-9.79	0.06	0.04	-0.04
2.761	0.98	0.64	-9.80	-0.08	-0.04	0.01
2.789	0.88	0.54	-9.74	-0.10	0.13	0.14
2.816	0.92	0.56	-9.74	0.01	0.01	-0.01
2.842	0.90	0.55	-9.78	0.05	-0.03	-0.11
2.870	0.83	0.58	-9.80	-0.10	0.09	0.02
2.896	0.92	0.57	-9.77	-0.01	0.05	0.11
2.923	0.87	0.54	-9.72	-0.05	0.15	0.01
2.951	0.92	0.59	-9.82	0.06	-0.03	0.02
2.977	0.91	0.58	-9.74	-0.10	0.02	-0.07
3.005	0.88	0.62	-9.76	-0.08	-0.01	0.08
3.032	0.92	0.57	-9.80	0.16	-0.03	-0.09
3.061	0.92	0.52	-9.82	0.03	0.07	-0.02
3.089	0.93	0.59	-9.66	-0.06	0.05	0.04
3.116	0.91	0.61	-9.76	0.03	0.01	-0.10
3.142	0.88	0.60	-9.76	0.04	0.13	-0.06
3.170	0.90	0.58	-9.69	0.00	-0.04	-0.02
3.196	0.88	0.49	-9.85	0.01	0.00	0.02
3.223	0.85	0.59	-9.71	-0.00	0.02	0.02
3.251	0.92	0.58	-9.73	-0.02	0.00	-0.03
3.277	0.92	0.61	-9.78	0.04	-0.06	-0.16
3.305	0.93	0.54	-9.60	-0.08	0.00	-0.07
3.332	0.85	0.60	-9.79	0.12	0.03	-0.06
3.358	0.92	0.57	-9.76	0.07	0.07	-0.01
3.386	0.92	0.65	-9.70	0.09	-0.04	-0.16
3.412	0.97	0.55	-9.80	-0.02	0.04	0.03
3.442	0.94	0.57	-9.74	0.00	0.04	-0.07
3.469	0.97	0.56	-9.78	0.07	0.03	-0.02
3.496	0.86	0.59	-9.73	-0.01	0.00	0.03
3.523	0.92	0.52	-9.73	-0.11	-0.00	0.17
3.551	0.96	0.56	-9.76	-0.04	0.02	0.01
3.577	0.91	0.63	-9.75	-0.06	0.06	0.09
3.604	0.91	0.59	-9.72	-0.07	-0.06	-0.06
3.632	0.84	0.55	-9.70	0.02	0.02	-0.01
3.658	0.91	0.55	-9.80	-0.03	0.06	0.06
3.686	0.93	0.52	-9.83	-0.03	0.06	0.08
3.713	0.88	0.57	-9.77	0.06	0.10	-0.02
3.739	0.89	0.58	-9.79	0.05	-0.07	-0.19
3.767	0.86	0.54	-9.68	0.05	-0.01	-0.02
3.796	0.89	0.58	-9.76	0.00	-0.16	0.02
3.823	0.91	0.56	-9.78	0.05	-0.08	0.06
3.851	0.96	0.54	-9.80	0.03	0.04	0.03
3.877	0.91	0.65	-9.68	0.05	-0.02	0.06
3.905	0.98	0.55	-9.82	0.01	-0.10	-0.15
3.932	1.01	0.64	-9.74	-0.05	0.03	0.04
3.958	0.93	0.62	-9.75	-0.02	-0.06	-0.10
3.986	0.96	0.63	-9.70	0.09	0.03	0.01
4.013	0.93	0.55	-9.73	-0.04	0.05	0.06
4.039	0.93	0.62	-9.76	0.02	-0.04	0.03
4.082	0.96	0.53	-9.71	0.06	-0.02	-0.19
4.110	0.88	0.52	-9.76	0.06	-0.13	-0.13
4.136	0.90	0.51	-9.74	0.03	-0.03	-0.00
4.166	0.85	0.49	-9.69	-0.04	-0.03	0.13
4.194	0.89	0.60	-9.74	0.01	0.03	0.03
4.220	0.85	0.48	-9.65	0.04	-0.05	-0.02
4.248	0.86	0.62	-9.68	-0.05	-0.01	0.05
4.275	0.90	0.60	-9.78	0.00	-0.02	0.06
4.301	0.88	0.62	-9.79	-0.07	0.03	0.11
4.329	1.23	-0.18	-9.70	-0.02	0.07	0.01
4.356	1.57	0.05	-9.06	0.01	-0.09	-0.07
4.383	1.52	0.83	-9.98	-0.02	0.02	0.10
4.410	5.89	1.44	-9.01	0.03	-0.04	-0.03
4.436	0.85	-1.12	-8.43	0.07	-0.10	0.01
4.464	-0.07	-0.54	-10.37	-0.12	0.01	-0.07
4.491	0.33	1.82	-9.97	0.14	-0.08	-0.06
4.518	0.59	-0.04	-9.77	0.05	0.07	-0.14
4.543	0.89	0.97	-10.01	0.06	-0.09	0.00
4.570	0.28	0.14	-9.78	-0.05	0.07	-0.05
4.597	0.34	0.55	-10.19	-0.00	0.05	-0.03
4.624	1.34	0.16	-10.36	0.06	0.16	0.16
4.652	3.15	-0.08	-10.16	0.01	-0.04	0.12
4.678	-0.06	0.84	-9.55	0.10	-0.05	-0.09
4.706	1.69	1.14	-10.08	0.04	0.00	0.07
4.732	0.84	-0.09	-9.80	-0.01	-0.07	-0.05
4.760	1.35	-0.46	-9.24	0.07	0.10	0.03
4.787	1.16	1.64	-9.95	-0.04	0.08	0.10
4.813	1.11	1.26	-9.88	0.01	-0.07	-0.02
4.841	3.23	0.25	-9.24	0.01	-0.05	-0.04
4.868	1.36	0.28	-8.67	0.04	-0.12	-0.13
4.897	3.32	0.36	-9.67	0.11	0.03	-0.01
4.925	0.96	0.66	-9.85	-0.07	0.06	0.05
4.952	1.23	-0.02	-9.57	-0.01	0.17	0.10
4.979	0.90	0.10	-11.15	0.11	-0.01	-0.13
5.006	1.64	0.13	-10.74	-0.03	0.02	-0.17
5.033	2.23	0.72	-9.60	0.01	0.01	-0.05
5.060	-0.01	0.75	-9.71	-0.04	-0.10	-0.13
5.088	0.78	0.85	-9.86	0.04	0.06	-0.02
5.114	2.10	-0.68	-10.10	0.02	0.12	-0.05
5.141	3.86	-1.94	-8.43	0.00	0.07	0.04
5.169	2.72	-0.04	-11.00	-0.10	0.06	0.06
5.195	2.08	1.99	-10.60	0.14	0.03	-0.18
5.223	1.13	-1.76	-8.81	0.04	0.03	0.09
5.253	0.28	-0.97	-9.45	-0.01	-0.06	0.03
5.279	1.52	1.27	-9.72	-0.05	0.08	0.01
5.307	0.88	0.84	-10.21	-0.05	0.02	0.16
5.334	0.56	2.03	-9.42	0.03	-0.12	-0.18
5.361	-1.11	0.20	-10.54	0.03	0.01	0.09
5.388	1.19	0.25	-9.63	0.07	0.00	-0.11
5.415	0.55	1.11	-10.49	-0.12	0.03	0.09
5.442	1.75	1.28	-9.31	0.07	-0.13	0.09
5.470	0.84	-0.42	-9.91	0.02	0.03	-0.03
