Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
0.497	1.07	0.45	-9.77	-0.05	0.14	0.00
0.524	0.94	0.47	-9.78	-0.03	0.05	0.04
0.550	0.87	0.52	-9.80	-0.01	-0.09	-0.04
0.578	0.88	0.40	-9.76	-0.01	0.02	0.07
0.605	0.85	0.50	-9.69	0.04	0.04	0.02
0.631	0.92	0.41	-9.77	0.01	-0.05	-0.09
0.659	0.96	0.50	-9.78	-0.06	0.07	0.03
0.686	0.96	0.88	-9.78	-0.04	0.07	0.16
0.713	0.93	0.50	-9.73	-0.07	0.04	-0.03
0.740	0.99	0.33	-9.78	0.09	-0.19	-0.10
0.766	0.95	0.45	-9.85	-0.03	0.05	0.02
0.794	0.86	0.33	-9.73	-0.06	0.05	0.17
0.821	0.91	0.49	-9.75	0.10	-0.05	-0.19
0.850	0.88	0.42	-9.86	0.09	0.00	-0.08
0.878	0.95	0.44	-9.76	0.02	0.01	-0.10
0.905	0.96	0.54	-9.78	0.06	0.04	-0.10
0.931	1.08	0.38	-9.76	0.00	-0.05	-0.08
0.959	0.98	0.39	-9.88	-0.02	0.03	0.10
0.986	0.99	0.57	-9.83	0.01	-0.05	0.03
1.012	1.01	0.45	-9.73	0.11	0.08	-0.06
1.040	0.95	0.50	-9.80	-0.12	-0.00	-0.06
1.067	0.92	0.45	-9.77	-0.03	0.05	0.02
1.094	0.90	0.45	-9.88	0.00	0.02	0.10
1.121	0.95	0.41	-9.73	0.00	-0.04	-0.11
1.147	0.98	0.37	-9.82	0.02	-0.14	-0.05
1.175	1.00	0.50	-9.78	-0.04	0.05	0.09
1.205	1.06	0.60	-9.71	-0.01	-0.06	-0.15
1.231	0.91	0.62	-9.88	-0.00	-0.06	-0.07
1.259	1.05	0.42	-9.85	-0.02	-0.02	0.09
1.286	0.99	0.40	-9.70	-0.08	0.05	0.10
1.313	0.98	0.45	-9.72	0.12	-0.12	-0.09
1.340	0.93	0.47	-9.78	0.05	0.07	-0.02
1.367	0.95	0.43	-9.81	-0.02	0.01	-0.02
1.394	0.97	0.51	-9.71	-0.04	0.00	0.11
1.421	0.99	0.41	-9.68	0.05	0.05	-0.06
1.447	1.06	0.47	-9.77	0.06	0.00	0.01
1.475	0.96	0.45	-9.68	0.00	-0.03	-0.03
1.502	1.01	-0.06	-9.70	-0.12	-0.03	0.14
1.529	0.75	1.03	-9.66	-0.05	-0.04	0.01
1.559	1.08	0.44	-9.70	-0.06	-0.03	0.17
1.586	0.95	0.02	-9.71	0.02	0.07	0.04
1.613	0.95	0.91	-9.75	0.00	0.02	0.04
1.640	0.85	0.42	-9.79	-0.03	0.07	0.02
1.667	0.92	0.71	-9.75	-0.01	0.05	-0.10
1.710	0.91	0.42	-9.79	0.04	0.02	-0.02
1.736	0.87	0.37	-9.78	0.00	0.02	-0.04
1.763	0.89	0.48	-9.81	-0.08	0.04	0.01
