Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
0.579	0.87	0.65	-9.81	0.04	0.13	0.01
0.606	0.85	0.72	-9.74	0.03	0.06	0.00
0.632	0.88	0.75	-9.77	-0.07	0.12	-0.04
0.660	0.83	0.71	-9.75	0.03	-0.16	-0.10
0.687	0.82	0.67	-9.77	-0.04	-0.05	0.07
0.713	0.75	0.68	-9.89	0.05	-0.04	0.03
0.741	0.94	0.83	-9.73	-0.03	-0.02	-0.01
0.768	0.96	0.59	-9.70	-0.06	-0.02	-0.01
0.814	0.79	0.96	-9.68	-0.05	-0.06	0.10
0.841	0.74	1.18	-9.60	0.00	-0.01	0.07
0.868	0.83	0.58	-9.73	-0.10	-0.04	0.16
0.894	0.92	0.82	-9.83	-0.05	-0.09	0.03
0.925	0.88	0.68	-9.72	-0.03	-0.00	-0.17
0.952	0.75	0.74	-9.73	-0.03	-0.03	0.03
0.978	0.88	0.87	-9.71	0.03	-0.07	0.04
1.006	0.83	0.21	-9.93	0.02	-0.03	0.13
1.033	0.89	0.83	-9.74	0.05	-0.03	0.00
1.060	0.80	1.15	-9.91	0.05	-0.03	0.00
1.087	0.85	0.10	-9.87	0.02	-0.09	-0.06
1.114	0.76	1.13	-9.83	-0.03	0.02	-0.02
1.141	0.94	1.41	-9.68	-0.14	0.04	0.05
1.168	0.75	-0.02	-9.84	0.03	0.07	0.01
1.196	0.68	0.65	-9.86	-0.09	0.12	0.01
1.222	0.85	1.12	-9.75	-0.06	-0.01	-0.03
1.249	0.71	0.66	-9.71	-0.01	-0.01	-0.00
1.276	0.73	0.72	-9.74	-0.01	0.06	0.12
1.306	0.80	0.25	-9.75	0.00	0.14	0.21
1.333	0.88	0.86	-9.75	-0.04	0.01	0.00
1.360	0.88	0.97	-9.77	0.02	-0.02	0.15
1.387	1.00	0.51	-9.85	-0.10	-0.09	0.01
1.415	-0.07	0.37	-8.85	0.06	-0.00	0.01
1.441	9.39	-0.47	-9.12	0.02	0.29	0.06
1.468	3.51	3.07	-10.54	-0.08	-0.25	0.05
1.496	2.94	0.37	-8.91	-0.09	0.06	0.07
1.522	5.44	3.68	-7.89	0.02	-0.09	0.15
1.550	-1.54	-0.83	-9.34	0.01	0.14	0.15
1.576	1.63	1.56	-11.10	0.05	-0.25	0.09
1.604	5.60	1.22	-7.25	-0.06	-0.03	0.09
1.631	2.13	1.98	-9.43	-0.04	0.04	0.27
1.660	1.75	0.71	-8.58	-0.08	-0.09	0.14
1.688	-1.13	1.47	-11.42	0.09	-0.03	0.09
1.715	-0.07	0.88	-9.57	-0.08	0.00	0.25
1.742	-0.76	0.70	-10.15	-0.10	0.05	0.05
1.769	0.27	1.03	-10.12	0.00	0.01	0.09
1.797	1.72	1.00	-9.95	-0.05	-0.01	-0.06
1.823	0.71	1.32	-9.12	-0.02	0.03	0.12
1.851	-0.16	0.91	-8.91	0.08	0.01	-0.05
1.878	0.32	1.00	-9.91	-0.03	-0.05	0.05
1.905	-0.30	0.89	-9.90	-0.15	0.08	0.05
1.932	0.01	-0.09	-9.96	0.00	0.07	0.06
1.958	0.62	0.50	-10.29	-0.07	-0.00	-0.15
1.986	0.82	0.65	-9.74	0.10	0.07	-0.04
2.016	0.57	0.55	-9.26	-0.12	-0.06	0.09
2.043	1.14	0.96	-9.37	0.06	-0.10	0.01
2.070	0.73	0.45	-9.68	0.00	-0.04	0.04
2.097	1.06	0.37	-10.97	-0.01	0.03	-0.05
2.124	1.20	0.73	-9.65	-0.00	0.03	-0.10
2.151	1.08	0.32	-9.58	0.05	0.01	-0.06
2.179	0.96	1.34	-9.36	0.00	-0.03	0.03
2.205	0.92	0.47	-9.64	0.03	-0.04	0.01
2.232	1.01	1.03	-9.52	0.01	0.11	-0.03
2.259	1.09	1.06	-10.19	-0.00	0.06	0.07
2.286	0.95	0.18	-9.93	0.03	0.05	-0.03
2.314	1.35	1.34	-9.63	-0.05	0.07	0.10
2.340	0.54	1.15	-9.96	0.06	0.04	-0.01
2.370	0.83	0.33	-9.23	-0.03	0.10	-0.13
2.398	1.45	0.23	-10.28	-0.04	0.07	0.04
2.424	0.84	0.89	-10.06	-0.05	-0.03	-0.06
2.452	1.03	1.41	-9.65	0.06	0.03	-0.03
2.479	1.64	0.75	-10.15	0.07	0.00	-0.12
2.505	0.64	0.26	-9.93	0.00	0.06	0.09
2.533	0.34	0.20	-9.75	-0.00	-0.04	-0.09
2.560	1.03	1.26	-9.70	-0.01	-0.03	-0.02
2.587	0.78	0.56	-9.77	0.04	-0.03	0.03
2.614	0.96	0.60	-9.63	0.03	0.01	-0.01
2.641	0.88	0.78	-9.83	0.06	0.02	0.00
2.668	0.79	0.53	-9.82	-0.06	0.02	0.12
2.695	0.83	0.82	-9.65	-0.05	0.07	-0.02
2.722	0.91	0.84	-9.93	0.12	-0.08	-0.11
2.752	0.82	0.45	-9.84	0.06	-0.02	0.04
2.779	0.78	0.63	-9.86	0.01	-0.03	-0.05
2.806	0.78	0.70	-9.71	-0.03	-0.06	-0.01
2.833	0.83	0.63	-9.78	-0.02	0.00	0.05
2.861	0.91	0.77	-9.82	-0.04	-0.01	-0.11
2.887	0.98	0.71	-9.73	-0.12	0.10	0.11
2.920	1.06	0.05	-9.73	-0.01	-0.04	-0.06
2.948	0.67	-0.19	-9.88	-0.02	0.06	0.02
2.974	0.95	0.21	-9.17	0.06	-0.07	-0.34
3.001	1.57	-0.13	-10.13	-0.08	0.05	0.09
3.028	2.43	0.35	-10.03	-0.12	0.02	0.07
3.055	0.19	0.35	-9.91	0.04	-0.03	-0.01
3.083	2.86	-0.05	-10.49	0.05	-0.13	-0.03
3.112	1.15	-0.07	-9.96	-0.08	0.08	0.12
3.139	0.91	0.86	-8.85	-0.13	0.06	-0.06
3.167	0.82	1.44	-9.27	0.01	-0.01	0.09
3.193	1.50	0.53	-10.52	0.00	-0.04	0.04
3.221	0.78	0.49	-9.90	0.01	0.04	-0.01
3.248	0.50	0.77	-9.65	0.01	0.04	0.10
3.274	0.91	1.27	-10.38	0.05	0.05	0.05
3.302	1.12	1.44	-9.89	0.02	0.01	0.01
3.329	0.78	0.45	-10.03	-0.08	0.02	0.02
3.355	1.92	0.73	-10.24	0.00	-0.03	-0.03
3.383	0.80	0.67	-9.65	-0.07	0.05	-0.07
3.409	0.90	0.63	-9.80	0.06	0.08	-0.02
3.437	0.80	0.67	-9.81	-0.04	-0.06	0.03
3.467	1.31	0.83	-10.59	0.06	0.04	-0.08
3.493	1.26	0.34	-9.32	0.10	-0.01	-0.03
3.521	0.88	0.41	-9.29	0.05	-0.03	-0.06
3.548	1.09	0.18	-10.03	0.08	0.12	-0.08
3.575	-0.68	1.26	-8.40	0.10	0.10	0.04
3.602	0.14	3.25	-11.13	0.12	-0.10	-0.01
3.630	0.56	-0.88	-11.33	-0.03	0.03	0.19
3.656	-1.53	-0.03	-9.99	-0.03	-0.06	0.12
3.684	0.93	-0.44	-9.40	-0.09	-0.01	0.09
3.710	1.19	0.93	-10.32	0.02	-0.07	-0.03
3.738	3.25	-0.22	-8.63	-0.03	0.04	-0.02
3.765	3.44	0.88	-10.59	0.02	0.04	0.11
3.791	1.67	0.17	-9.67	0.09	-0.06	-0.03
3.822	1.26	2.25	-9.46	-0.01	-0.01	-0.03
3.849	0.31	1.47	-10.33	-0.00	0.04	-0.14
3.876	0.51	0.45	-9.63	-0.03	0.12	-0.02
3.903	1.08	0.34	-9.88	-0.01	-0.00	-0.02
3.931	0.91	1.08	-9.93	-0.03	0.02	-0.09
3.957	0.61	0.28	-9.45	-0.03	0.01	-0.04
3.984	1.27	0.52	-9.53	0.01	0.00	-0.00
4.012	0.38	0.71	-9.96	0.02	0.00	-0.19
4.038	0.75	-0.44	-8.98	-0.03	0.02	0.03
4.065	0.09	-0.73	-8.86	-0.07	0.07	0.02
4.092	2.45	0.50	-9.60	-0.06	-0.01	0.12
4.119	0.43	0.51	-10.14	0.06	-0.05	0.05
4.147	0.52	0.68	-9.73	0.05	-0.09	-0.08
4.176	0.46	-0.66	-10.03	0.07	-0.09	-0.10
4.203	0.66	0.93	-9.85	-0.04	-0.01	0.01
4.231	0.79	0.40	-9.68	-0.09	0.03	0.08
4.257	0.47	0.51	-9.79	-0.01	0.06	0.07
4.285	0.86	0.66	-9.98	0.01	0.01	-0.17
4.312	0.91	0.80	-9.72	-0.01	0.05	-0.06
4.338	0.85	0.57	-9.78	-0.04	0.05	0.01
4.366	0.89	0.71	-9.68	0.13	-0.11	0.01
4.392	0.84	0.62	-9.84	0.01	-0.00	0.05
4.419	0.90	0.69	-9.83	0.04	-0.05	0.06
4.447	0.92	0.68	-9.77	0.02	-0.07	0.08
4.473	0.86	0.71	-9.78	-0.03	0.04	-0.03
4.501	0.88	0.76	-9.79	-0.01	-0.03	-0.06
4.531	0.84	0.60	-9.78	0.01	0.01	-0.12
4.557	0.82	0.68	-9.70	0.00	0.03	0.02
4.584	0.94	0.73	-9.74	-0.02	0.00	-0.04
4.612	0.88	0.62	-9.82	-0.04	0.04	0.09
4.638	0.87	0.70	-9.74	-0.04	-0.04	0.09
4.665	0.91	0.69	-9.83	0.00	0.00	0.04
4.692	0.84	0.73	-9.78	-0.06	-0.02	0.09
4.719	0.92	0.71	-9.83	-0.07	-0.03	-0.06
4.747	0.85	0.72	-9.81	-0.03	0.07	0.03
4.773	0.93	0.73	-9.70	-0.07	-0.04	0.05
4.800	0.86	0.70	-9.75	0.02	0.12	0.01
4.828	0.82	0.66	-9.79	-0.01	0.13	0.04
4.854	0.96	0.73	-9.73	-0.02	-0.01	-0.05
4.882	0.88	0.74	-9.76	-0.07	-0.09	0.07
4.912	0.83	0.65	-9.70	0.04	-0.04	0.00
4.938	0.88	0.73	-9.73	0.01	0.05	0.07
4.966	0.91	0.71	-9.79	-0.03	-0.06	-0.13
4.993	0.90	0.69	-9.73	0.08	-0.01	0.00
5.019	0.86	0.67	-9.73	0.02	-0.04	-0.02
5.047	0.83	0.64	-9.78	-0.05	0.03	0.06
5.073	0.93	0.75	-9.75	0.02	-0.09	-0.07
5.118	0.83	0.75	-9.80	0.08	-0.07	0.07
5.145	0.52	0.55	-9.77	-0.01	-0.09	-0.15
5.173	1.13	1.13	-10.13	-0.05	-0.01	-0.01
5.199	1.18	1.08	-9.57	0.00	-0.12	0.03
5.226	0.48	-0.49	-9.52	-0.02	-0.04	-0.03
5.254	0.68	0.55	-8.88	-0.04	0.02	-0.03
5.283	1.80	-0.17	-9.37	-0.06	-0.05	0.03
5.311	1.72	-0.70	-8.58	-0.00	0.05	0.04
5.338	0.83	-1.29	-11.35	-0.01	-0.00	0.12
5.365	-0.29	3.51	-12.42	-0.01	0.00	0.06
5.392	1.00	0.55	-8.15	-0.05	0.14	0.08
5.419	2.69	-0.19	-9.60	0.00	0.08	-0.01
5.446	1.12	0.04	-9.53	0.12	0.06	-0.07
5.473	0.68	0.88	-10.11	-0.05	0.01	-0.00
5.500	0.84	0.40	-10.31	0.05	0.01	0.06
5.527	1.13	1.02	-9.73	0.06	0.00	-0.11
5.554	1.50	0.76	-10.24	-0.04	-0.02	0.06
